published,title,url,views
2015-12-05,Computational Social Science,http://videolectures.net/icml2015_wallach_social_science,198
2015-10-22,Introduction to the summer school ,http://videolectures.net/eswc2015_simperl_introduction,192
2016-10-06,Machine learning,http://videolectures.net/eswc2016_fortuna_machine_learning,191
2016-09-16,Building Recommender Systems using Photon ML,http://videolectures.net/kdd2016_tutorial_recommender_systems,191
2016-02-10,Holistically-Nested Edge Detection,http://videolectures.net/iccv2015_xie_edge_detection,182
2015-09-27,Accelerated Online Low Rank Tensor Learning for Multivariate Spatiotemporal Streams,http://videolectures.net/icml2015_yu_multivariate_spatiotemporal_streams,178
2015-11-10,"Build it, and they will come: Applications of semantic technology",http://videolectures.net/iswc2015_horrocks_semantic_technology,176
2015-07-28,A Neuroeconomics Approach to Pathological Behavior,http://videolectures.net/rldm2015_levy_pathological_behavior,174
2016-05-27,Neural Networks with Few Multiplications,http://videolectures.net/iclr2016_lin_neural_networks,173
2015-12-05,Welcome address,http://videolectures.net/icml2015_welcome_address,167
2015-07-02,The More the Merrier: Analysing the Affect of a Group of People in Images,http://videolectures.net/fgconference2015_goecke_people_images,163
2015-03-06,NLPGo: Better research through better tools,http://videolectures.net/cmuseminars_hodson_nlpgo,161
2016-09-01,Trying to be a ‘public’ (Bayesian) statistician,http://videolectures.net/isba2016_spiegelhalter_public_statistician,161
2015-07-15,Desperately Searching for Travel Offers? Formulate Better Queries with Some Help from Linked Data,http://videolectures.net/eswc2015_lu_linked_data,160
2016-05-27,A note on the evaluation of generative models,http://videolectures.net/iclr2016_theis_generative_models,159
2015-12-05,An Empirical Exploration of Recurrent Network Architectures,http://videolectures.net/icml2015_jozefowicz_network_architectures,159
2016-05-27,The Variational Fair Autoencoder,http://videolectures.net/iclr2016_louizos_fair_autoencoder,158
2016-02-10,Learning Discriminative Reconstructions for Unsupervised Outlier Removal,http://videolectures.net/iccv2015_xia_outlier_removal,157
2015-10-29,Data analytics involving text,http://videolectures.net/single_mladenic_data_analytics,156
2015-07-28,What limits performance in decision making?,http://videolectures.net/rldm2015_pouget_decision_making,156
